3599,2,8,SSD,128,13.3,macOS,12
2099,2,8,SSD,2,15.6,Windows,24
899,2,4,HDD,64,13.3,Windows,24
2599,4,8,SSD,2,15.6,Windows,24
1299,2,4,SSD,2,15.6,Windows,24
2699,4,8,SSD,2,14.0,Windows,24
2399,4,16,SSD,2,15.6,Windows,24
4099,4,8,SSD,2,17.3,Windows,24
1249,4,4,HDD,2,10.1,Windows,24
3149,4,8,SSD,2,13.3,Windows,24
999,2,4,SSD,2,11.6,Windows,24
3299,4,32,SSD,2,17.3,Windows,24
5699,4,8,SSD,128,13.3,macOS,12
3399,4,8,SSD,2,15.6,Windows,24
1899,2,12,SSD,2,15.6,Windows,24
2799,4,8,SSD,2,15.6,Windows,24
3399,4,20,SSD,2,15.6,Windows,24
3499,4,16,SSD,2,17.3,Windows,24
2799,4,32,SSD,2,15.6,Windows,24
2599,4,20,SSD,2,15.6,Windows,24
4899,4,16,SSD,2,17.3,Windows,24
4099,4,32,SSD,2,15.6,Windows,24
2899,4,20,SSD,2,15.6,Windows,24
4999,2,8,SSD,2,13.3,macOS,12
5599,4,8,SSD,128,13.3,macOS,12
2899,4,8,SSD,2,13.3,Windows,24
1599,2,12,SSD,2,14.0,Windows,24
1799,2,4,HDD,1,15.6,Windows,24
4999,2,8,SSD,1,13.3,macOS,12
6599,4,8,SSD,256,13.3,macOS,12
3699,4,32,SSD,2,15.6,Windows,24
4797,2,8,SSD,128,13.3,macOS,12
2447,4,8,SSD,256,15.6,Windows,12
2497,4,12,SSD,2,15.6,Windows,24
3199,4,8,SSD,2,15.6,Windows,24
3299,4,32,SSD,2,15.6,Windows,24
1599,2,12,SSD,256,15.6,Windows,24
3299,4,8,SSD,2,14.0,Windows,24
2509,4,12,SSD,2,14.0,Windows,24
3399,4,8,SSD,128,12.3,Windows,12
1399,2,4,SSD,2,15.6,Windows,24
2059,2,20,SSD,2,15.6,Windows,24
1299,2,16,SSD,256,15.6,Windows,24
1799,2,4,SSD,2,15.6,Windows,24
5599,2,8,SSD,2,13.3,macOS,12
2249,2,16,SSD,2,15.6,Windows,12
1339,2,8,HDD,2,14.0,Windows,24
2999,4,8,SSD,2,14.0,Windows,24
2899,4,8,SSD,2,13.3,Windows,24
3899,4,32,SSD,2,17.3,Windows,24
2099,2,8,SSD,2,14.0,Windows,24
3999,6,32,SSD,2,15.6,Windows,24
4039,4,8,SSD,2,15.6,Windows,24
1499,2,4,SSD,256,15.6,Windows,24
2499,2,8,SSD,128,10.0,Windows,12
3999,4,32,SSD,128,15.6,Windows,24
5649,2,8,SSD,128,13.3,macOS,12
4499,6,32,SSD,128,15.6,Windows,24
5597,2,8,SSD,256,13.3,macOS,12
1999,2,12,SSD,256,14.0,Windows,24
4299,4,16,SSD,2,15.6,Windows,24
2799,4,32,SSD,512,15.6,Windows,24
4097,4,16,SSD,512,14.0,Windows,24
2899,4,8,SSD,2,13.3,Windows,24
2849,4,32,SSD,2,14.0,Windows,24
1999,2,12,SSD,2,15.6,Windows,24
4999,2,8,SSD,2,13.3,macOS,12
3399,4,8,SSD,256,14.0,Windows,24
3799,4,8,SSD,2,15.6,Windows,24
2899,4,16,SSD,2,15.6,Windows,36
10999,6,16,SSD,512,16.0,macOS,12
4699,4,32,SSD,2,15.6,Windows,24
4599,4,8,SSD,2,15.6,Windows,24
1249,4,4,SSD,120,14.1,Windows,24
6199,6,32,SSD,2,17.3,Windows,24
2197,4,12,SSD,256,14.0,Windows,24
2699,4,32,SSD,2,14.0,Windows,24
4997,4,16,SSD,2,15.6,Windows,24
447,4,4,SSD,2,14.1,Windows,24
5699,6,16,SSD,2,17.3,Windows,24
2649,2,16,SSD,2,15.6,Windows,24
1999,2,4,SSD,2,10.0,Windows,12
6589,4,8,SSD,256,13.3,macOS,12
3997,4,8,SSD,2,14.0,Windows,24
3499,4,12,SSD,2,15.6,Windows,24
7899,6,32,SSD,512,17.3,Windows,24
3597,6,8,SSD,1,15.6,Windows,24
3299,4,12,SSD,2,17.3,Windows,24
2549,4,32,SSD,2,14.0,Windows,24
747,2,4,HDD,500,15.6,Other,24
4999,2,8,SSD,500,12.0,macOS,12
2899,4,32,SSD,2,14.0,Windows,12
2799,4,8,SSD,2,15.6,Windows,24
4999,4,8,SSD,128,13.5,Windows,12
3699,4,32,SSD,2,15.6,Windows,24
4797,2,8,SSD,128,13.3,macOS,12
7799,4,8,SSD,256,13.3,macOS,12
5699,6,32,SSD,2,17.3,Windows,24
5649,2,8,SSD,2,13.3,macOS,12
10869,8,16,SSD,512,15.4,macOS,12
6999,6,32,SSD,512,17.3,Windows,24
5799,6,32,SSD,512,15.6,Windows,24
2697,4,20,SSD,512,15.6,Windows,24
2299,4,8,SSD,2,15.6,Windows,24
4297,4,8,SSD,2,13.3,Windows,24
1697,2,12,SSD,256,15.6,Windows,24
4897,6,32,SSD,1,15.6,Windows,24
7699,6,32,SSD,2,15.6,Windows,24
4077,2,8,SSD,2,13.3,macOS,12
7399,2,16,SSD,2,13.3,macOS,12
1699,2,4,SSD,2,15.6,Windows,24
1969,2,12,SSD,2,15.6,Windows,12
3199,4,20,SSD,2,15.6,Windows,24
10999,8,16,SSD,512,15.4,macOS,12
1899,2,12,SSD,512,15.6,Windows,24
3099,4,8,SSD,2,14.0,Windows,24
3299,4,8,SSD,2,13.3,Windows,24
2099,2,12,SSD,2,14.0,Windows,24
1999,2,4,SSD,2,10.0,Windows,12
4799,6,32,SSD,2,15.6,Windows,24
8399,4,8,SSD,512,13.3,macOS,12
2447,4,8,SSD,256,15.6,Windows,24
5699,6,32,SSD,256,17.3,Windows,24
4999,4,32,SSD,2,15.6,Windows,24
7499,4,8,SSD,256,13.3,macOS,12
2797,4,32,SSD,512,15.6,Windows,24
7849,4,16,SSD,256,13.3,macOS,12
2449,2,16,SSD,2,15.6,Windows,12
4649,4,16,SSD,2,14.0,Windows,24
2899,4,32,SSD,2,14.0,Windows,24
1997,2,16,SSD,256,15.6,Windows,24
3397,4,16,SSD,1,15.6,Windows,24
6599,4,8,SSD,256,15.0,Windows,12
6599,6,64,SSD,256,17.3,Windows,24
1097,2,8,HDD,256,14.0,Windows,24
4497,4,8,SSD,256,13.9,Windows,24
3397,4,8,SSD,2,15.6,Windows,24
647,2,4,SSD,2,13.3,Windows,24
12099,6,64,SSD,2,17.3,Windows,24
6299,4,8,SSD,256,13.3,macOS,12
9197,6,16,SSD,256,15.4,macOS,12
1997,2,12,SSD,2,15.6,Windows,12
3699,4,16,SSD,2,15.6,Windows,24
5029,4,32,SSD,2,15.6,Windows,24
6997,2,8,SSD,256,13.3,macOS,12
4999,4,16,SSD,2,14.0,Windows,12
1649,2,12,SSD,256,15.6,Windows,24
1499,2,4,HDD,1,15.6,Windows,24
1649,2,12,HDD,1,15.6,Windows,24
3697,4,32,SSD,1,15.6,Windows,24
2599,4,12,SSD,2,15.6,Windows,24
5699,4,16,SSD,2,13.3,Windows,24
4699,4,32,SSD,2,17.3,Windows,24
3199,4,32,SSD,2,15.6,Windows,24
5497,6,32,SSD,2,15.6,Windows,24
5699,4,8,SSD,1,15.6,Windows,24
2699,4,12,SSD,2,14.0,Windows,24
12949,8,16,SSD,1,16.0,macOS,12
5997,2,8,SSD,1,13.3,macOS,12
5749,4,8,SSD,256,12.3,Windows,12
5799,4,8,SSD,128,15.0,Windows,12
9999,6,16,SSD,256,15.4,macOS,12
3199,4,32,SSD,2,17.3,Windows,24
6399,4,8,SSD,256,13.5,Windows,12
3499,4,8,SSD,2,17.3,Windows,24
4729,4,8,SSD,256,12.3,Windows,12
4299,6,32,SSD,2,15.6,Other,24
2497,4,8,SSD,2,13.3,Windows,24
7599,2,8,SSD,256,13.5,Windows,12
3697,6,32,SSD,256,15.6,Windows,24
2697,4,8,SSD,256,15.6,Windows,24
2797,4,8,SSD,256,15.6,Windows,24
6599,2,16,SSD,256,13.3,macOS,12
3197,4,8,SSD,256,13.0,Windows,24
3597,4,8,SSD,1,15.6,Windows,24
1899,2,8,SSD,2,15.6,Windows,24
11997,6,16,SSD,256,15.4,macOS,12
2697,4,8,SSD,1,15.6,Windows,24
2697,4,20,SSD,1,15.6,Windows,24
8999,4,16,SSD,256,13.3,macOS,12
2449,2,16,SSD,2,15.6,Windows,12
10999,4,16,SSD,2,15.0,Windows,12
8297,6,16,SSD,2,17.3,Windows,24
4699,6,32,SSD,2,17.3,Windows,24
13999,8,32,SSD,2,15.6,Windows,24
4999,4,8,SSD,256,12.3,Windows,12
6899,4,16,SSD,128,13.3,macOS,12
4997,6,32,SSD,1,17.3,Windows,24
11499,8,32,SSD,1,17.3,Windows,24
2297,4,8,SSD,512,14.0,Windows,24
3397,6,32,SSD,512,15.6,Windows,24
1497,2,8,HDD,1,15.6,Windows,24
11999,6,32,SSD,2,15.6,Windows,24
4599,2,8,SSD,128,13.3,macOS,12
7899,6,64,SSD,2,15.6,Windows,24
2399,4,16,SSD,2,15.6,Windows,24
3197,4,8,SSD,2,13.3,Windows,24
2097,4,8,SSD,256,14.0,Windows,24
6699,6,64,SSD,2,17.3,Windows,24
2497,2,8,SSD,512,13.3,Windows,24
547,2,4,SSD,500,15.6,Windows,24
4897,6,32,SSD,1,17.3,Windows,24
4999,4,32,SSD,1,15.6,Windows,24
4299,4,8,SSD,1,13.0,Windows,24
12499,6,64,SSD,2,17.3,Windows,24
5497,6,32,SSD,2,15.6,Windows,24
2099,4,4,SSD,2,17.3,Windows,24
1999,2,16,HDD,2,17.3,Windows,24
5999,2,8,SSD,2,14.0,Windows,24
6499,2,8,SSD,2,14.0,Windows,24
2949,4,16,SSD,2,14.0,Windows,36
1849,2,12,SSD,256,15.6,Windows,24
4549,4,8,SSD,128,12.3,Windows,12
5029,4,16,SSD,2,15.6,Windows,24
1649,2,12,SSD,256,15.6,Windows,24
6999,4,16,SSD,2,17.0,Windows,12
4999,2,8,SSD,128,13.0,Windows,12
2799,4,16,HDD,1,14.0,Windows,36
5499,4,16,SSD,2,15.6,Windows,12
3759,2,4,SSD,128,12.3,Windows,12
9799,4,8,SSD,256,13.5,Windows,12
5999,4,16,SSD,2,15.6,Windows,12
3797,2,4,SSD,128,12.3,Windows,12
11099,4,16,SSD,512,13.5,Windows,12
2999,4,8,SSD,2,14.0,Windows,24
6799,6,16,SSD,2,15.6,Windows,24
5749,4,8,SSD,256,12.3,Windows,12
5699,4,16,SSD,2,14.0,Windows,24
1749,4,12,SSD,256,15.6,Windows,24
2059,2,16,HDD,1,14.0,Windows,24
6399,4,8,SSD,256,13.5,Windows,12
3697,6,32,SSD,256,15.6,Windows,24
8599,4,8,SSD,512,13.3,macOS,12
4199,4,8,SSD,2,14.0,Windows,24
3497,4,8,SSD,2,17.3,Windows,24
3497,4,8,SSD,2,13.3,Windows,24
1299,2,4,HDD,500,15.6,Windows,24
2097,4,8,HDD,1,15.6,Windows,24
7899,6,16,SSD,2,17.3,Windows,24
4499,4,8,SSD,128,12.3,Windows,12
2097,2,12,SSD,2,15.6,Windows,12
7199,4,8,SSD,256,15.0,Windows,12
1697,2,8,SSD,2,15.6,Windows,24
2497,4,8,SSD,2,13.3,Windows,24
1097,2,4,SSD,2,11.6,Windows,24
4297,4,8,SSD,2,15.6,Windows,24
2997,4,16,SSD,2,14.0,Windows,24
8999,4,16,SSD,256,13.3,macOS,12
4897,6,16,SSD,1,15.6,Windows,24
2497,4,8,SSD,2,13.3,Windows,24
3497,4,32,SSD,2,17.3,Windows,24
5997,2,8,SSD,2,13.3,macOS,12
3197,4,32,SSD,2,15.6,Windows,24
7997,4,8,SSD,256,13.3,macOS,12
3999,4,8,SSD,128,13.5,Windows,12
2897,4,32,HDD,1,15.6,Windows,24
2397,4,8,SSD,2,15.6,Windows,24
